description,proteins,fats,carbohydrates,calories,answer
oranges raw florida,0.7,0.21,11.54,46.0,"{""proteins"": 0.7, ""fats"": 0.21, ""carbohydrates"": 11.54, ""calories"": 46.0}"
oranges raw with peel,1.3,0.3,15.5,63.0,"{""proteins"": 1.3, ""fats"": 0.3, ""carbohydrates"": 15.5, ""calories"": 63.0}"
orange juice raw,0.7,0.2,10.4,45.0,"{""proteins"": 0.7, ""fats"": 0.2, ""carbohydrates"": 10.4, ""calories"": 45.0}"
orange juice canned unsweetened,0.68,0.15,11.01,47.0,"{""proteins"": 0.68, ""fats"": 0.15, ""carbohydrates"": 11.01, ""calories"": 47.0}"
orange juice chilled includes from concentrate,0.68,0.12,11.54,49.0,"{""proteins"": 0.68, ""fats"": 0.12, ""carbohydrates"": 11.54, ""calories"": 49.0}"
orange juice chilled includes from concentrate with added calcium and vitamin d,0.68,0.12,11.27,47.0,"{""proteins"": 0.68, ""fats"": 0.12, ""carbohydrates"": 11.27, ""calories"": 47.0}"
orange juice chilled includes from concentrate with added calcium,0.68,0.12,11.27,47.0,"{""proteins"": 0.68, ""fats"": 0.12, ""carbohydrates"": 11.27, ""calories"": 47.0}"
orange juice frozen concentrate unsweetened diluted with 3 volume water with added calcium,0.6,0.06,8.47,37.0,"{""proteins"": 0.6, ""fats"": 0.06, ""carbohydrates"": 8.47, ""calories"": 37.0}"
orange juice frozen concentrate unsweetened undiluted with added calcium,2.4,0.25,33.86,147.0,"{""proteins"": 2.4, ""fats"": 0.25, ""carbohydrates"": 33.86, ""calories"": 147.0}"
orange juice frozen concentrate unsweetened undiluted,2.4,0.25,35.19,148.0,"{""proteins"": 2.4, ""fats"": 0.25, ""carbohydrates"": 35.19, ""calories"": 148.0}"
orange juice frozen concentrate unsweetened diluted with 3 volume water,0.6,0.06,8.8,37.0,"{""proteins"": 0.6, ""fats"": 0.06, ""carbohydrates"": 8.8, ""calories"": 37.0}"
orange peel raw,1.5,0.2,25.0,97.0,"{""proteins"": 1.5, ""fats"": 0.2, ""carbohydrates"": 25.0, ""calories"": 97.0}"
orange-grapefruit juice canned or bottled unsweetened,0.6,0.1,10.28,43.0,"{""proteins"": 0.6, ""fats"": 0.1, ""carbohydrates"": 10.28, ""calories"": 43.0}"
tangerines (mandarin oranges) raw,0.81,0.31,13.34,53.0,"{""proteins"": 0.81, ""fats"": 0.31, ""carbohydrates"": 13.34, ""calories"": 53.0}"
tangerines (mandarin oranges) canned juice pack,0.62,0.03,9.57,37.0,"{""proteins"": 0.62, ""fats"": 0.03, ""carbohydrates"": 9.57, ""calories"": 37.0}"
tangerines (mandarin oranges) canned light syrup pack,0.45,0.1,16.19,61.0,"{""proteins"": 0.45, ""fats"": 0.1, ""carbohydrates"": 16.19, ""calories"": 61.0}"
tangerine juice raw,0.5,0.2,10.1,43.0,"{""proteins"": 0.5, ""fats"": 0.2, ""carbohydrates"": 10.1, ""calories"": 43.0}"
tangerine juice canned sweetened,0.5,0.2,12.0,50.0,"{""proteins"": 0.5, ""fats"": 0.2, ""carbohydrates"": 12.0, ""calories"": 50.0}"
papayas raw,0.47,0.26,10.82,43.0,"{""proteins"": 0.47, ""fats"": 0.26, ""carbohydrates"": 10.82, ""calories"": 43.0}"
papaya canned heavy syrup drained,0.14,0.55,55.83,206.0,"{""proteins"": 0.14, ""fats"": 0.55, ""carbohydrates"": 55.83, ""calories"": 206.0}"
papaya nectar canned,0.17,0.15,14.51,57.0,"{""proteins"": 0.17, ""fats"": 0.15, ""carbohydrates"": 14.51, ""calories"": 57.0}"
passion-fruit (granadilla) purple raw,2.2,0.7,23.38,97.0,"{""proteins"": 2.2, ""fats"": 0.7, ""carbohydrates"": 23.38, ""calories"": 97.0}"
passion-fruit juice purple raw,0.39,0.05,13.6,51.0,"{""proteins"": 0.39, ""fats"": 0.05, ""carbohydrates"": 13.6, ""calories"": 51.0}"
passion-fruit juice yellow raw,0.67,0.18,14.45,60.0,"{""proteins"": 0.67, ""fats"": 0.18, ""carbohydrates"": 14.45, ""calories"": 60.0}"
peaches yellow raw,0.91,0.25,9.54,39.0,"{""proteins"": 0.91, ""fats"": 0.25, ""carbohydrates"": 9.54, ""calories"": 39.0}"
peaches canned water pack solids and liquids,0.44,0.06,6.11,24.0,"{""proteins"": 0.44, ""fats"": 0.06, ""carbohydrates"": 6.11, ""calories"": 24.0}"
peaches canned juice pack solids and liquids,0.63,0.03,11.57,44.0,"{""proteins"": 0.63, ""fats"": 0.03, ""carbohydrates"": 11.57, ""calories"": 44.0}"
peaches canned extra light syrup solids and liquids,0.4,0.1,11.1,42.0,"{""proteins"": 0.4, ""fats"": 0.1, ""carbohydrates"": 11.1, ""calories"": 42.0}"
peaches canned light syrup pack solids and liquids,0.45,0.03,14.55,54.0,"{""proteins"": 0.45, ""fats"": 0.03, ""carbohydrates"": 14.55, ""calories"": 54.0}"
peaches canned heavy syrup pack solids and liquids,0.45,0.1,19.94,74.0,"{""proteins"": 0.45, ""fats"": 0.1, ""carbohydrates"": 19.94, ""calories"": 74.0}"
peaches canned extra heavy syrup pack solids and liquids,0.47,0.03,26.06,96.0,"{""proteins"": 0.47, ""fats"": 0.03, ""carbohydrates"": 26.06, ""calories"": 96.0}"
peaches spiced canned heavy syrup pack solids and liquids,0.41,0.1,20.08,75.0,"{""proteins"": 0.41, ""fats"": 0.1, ""carbohydrates"": 20.08, ""calories"": 75.0}"
peaches dehydrated (low-moisture) sulfured uncooked,4.89,1.03,83.18,325.0,"{""proteins"": 4.89, ""fats"": 1.03, ""carbohydrates"": 83.18, ""calories"": 325.0}"
peaches dehydrated (low-moisture) sulfured stewed,2.01,0.42,34.14,133.0,"{""proteins"": 2.01, ""fats"": 0.42, ""carbohydrates"": 34.14, ""calories"": 133.0}"
peaches dried sulfured uncooked,3.61,0.76,61.33,239.0,"{""proteins"": 3.61, ""fats"": 0.76, ""carbohydrates"": 61.33, ""calories"": 239.0}"
peaches dried sulfured stewed without added sugar,1.16,0.25,19.69,77.0,"{""proteins"": 1.16, ""fats"": 0.25, ""carbohydrates"": 19.69, ""calories"": 77.0}"
peaches dried sulfured stewed with added sugar,1.06,0.22,26.6,103.0,"{""proteins"": 1.06, ""fats"": 0.22, ""carbohydrates"": 26.6, ""calories"": 103.0}"
peaches frozen sliced sweetened,0.63,0.13,23.98,94.0,"{""proteins"": 0.63, ""fats"": 0.13, ""carbohydrates"": 23.98, ""calories"": 94.0}"
peach nectar canned without added ascorbic acid,0.27,0.02,13.92,54.0,"{""proteins"": 0.27, ""fats"": 0.02, ""carbohydrates"": 13.92, ""calories"": 54.0}"
pears raw,0.36,0.14,15.23,57.0,"{""proteins"": 0.36, ""fats"": 0.14, ""carbohydrates"": 15.23, ""calories"": 57.0}"
pears canned water pack solids and liquids,0.19,0.03,7.81,29.0,"{""proteins"": 0.19, ""fats"": 0.03, ""carbohydrates"": 7.81, ""calories"": 29.0}"
pears canned juice pack solids and liquids,0.34,0.07,12.94,50.0,"{""proteins"": 0.34, ""fats"": 0.07, ""carbohydrates"": 12.94, ""calories"": 50.0}"
pears canned extra light syrup pack solids and liquids,0.3,0.1,12.2,47.0,"{""proteins"": 0.3, ""fats"": 0.1, ""carbohydrates"": 12.2, ""calories"": 47.0}"
pears canned light syrup pack solids and liquids,0.19,0.03,15.17,57.0,"{""proteins"": 0.19, ""fats"": 0.03, ""carbohydrates"": 15.17, ""calories"": 57.0}"
pears canned heavy syrup pack solids and liquids,0.2,0.13,19.17,74.0,"{""proteins"": 0.2, ""fats"": 0.13, ""carbohydrates"": 19.17, ""calories"": 74.0}"
pears canned extra heavy syrup pack solids and liquids,0.19,0.13,25.25,97.0,"{""proteins"": 0.19, ""fats"": 0.13, ""carbohydrates"": 25.25, ""calories"": 97.0}"
pears dried sulfured uncooked,1.87,0.63,69.7,262.0,"{""proteins"": 1.87, ""fats"": 0.63, ""carbohydrates"": 69.7, ""calories"": 262.0}"
pears dried sulfured stewed without added sugar,0.91,0.31,33.81,127.0,"{""proteins"": 0.91, ""fats"": 0.31, ""carbohydrates"": 33.81, ""calories"": 127.0}"
pears dried sulfured stewed with added sugar,0.86,0.29,37.14,140.0,"{""proteins"": 0.86, ""fats"": 0.29, ""carbohydrates"": 37.14, ""calories"": 140.0}"
pear nectar canned without added ascorbic acid,0.11,0.01,15.76,60.0,"{""proteins"": 0.11, ""fats"": 0.01, ""carbohydrates"": 15.76, ""calories"": 60.0}"
persimmons japanese raw,0.58,0.19,18.59,70.0,"{""proteins"": 0.58, ""fats"": 0.19, ""carbohydrates"": 18.59, ""calories"": 70.0}"
persimmons japanese dried,1.38,0.59,73.43,274.0,"{""proteins"": 1.38, ""fats"": 0.59, ""carbohydrates"": 73.43, ""calories"": 274.0}"
persimmons native raw,0.8,0.4,33.5,127.0,"{""proteins"": 0.8, ""fats"": 0.4, ""carbohydrates"": 33.5, ""calories"": 127.0}"
pineapple raw all varieties,0.54,0.12,13.12,50.0,"{""proteins"": 0.54, ""fats"": 0.12, ""carbohydrates"": 13.12, ""calories"": 50.0}"
pineapple canned water pack solids and liquids,0.43,0.09,8.3,32.0,"{""proteins"": 0.43, ""fats"": 0.09, ""carbohydrates"": 8.3, ""calories"": 32.0}"
pineapple canned juice pack solids and liquids,0.42,0.08,15.7,60.0,"{""proteins"": 0.42, ""fats"": 0.08, ""carbohydrates"": 15.7, ""calories"": 60.0}"
pineapple canned light syrup pack solids and liquids,0.36,0.12,13.45,52.0,"{""proteins"": 0.36, ""fats"": 0.12, ""carbohydrates"": 13.45, ""calories"": 52.0}"
pineapple canned heavy syrup pack solids and liquids,0.35,0.11,20.2,78.0,"{""proteins"": 0.35, ""fats"": 0.11, ""carbohydrates"": 20.2, ""calories"": 78.0}"
pineapple canned extra heavy syrup pack solids and liquids,0.34,0.11,21.5,83.0,"{""proteins"": 0.34, ""fats"": 0.11, ""carbohydrates"": 21.5, ""calories"": 83.0}"
pineapple frozen chunks sweetened,0.4,0.1,22.2,86.0,"{""proteins"": 0.4, ""fats"": 0.1, ""carbohydrates"": 22.2, ""calories"": 86.0}"
pineapple juice canned or bottled unsweetened without added ascorbic acid,0.36,0.12,12.87,53.0,"{""proteins"": 0.36, ""fats"": 0.12, ""carbohydrates"": 12.87, ""calories"": 53.0}"
pineapple juice frozen concentrate unsweetened undiluted,1.3,0.1,44.3,179.0,"{""proteins"": 1.3, ""fats"": 0.1, ""carbohydrates"": 44.3, ""calories"": 179.0}"
pineapple juice frozen concentrate unsweetened diluted with 3 volume water,0.4,0.03,12.67,51.0,"{""proteins"": 0.4, ""fats"": 0.03, ""carbohydrates"": 12.67, ""calories"": 51.0}"
pitanga (surinam-cherry) raw,0.8,0.4,7.49,33.0,"{""proteins"": 0.8, ""fats"": 0.4, ""carbohydrates"": 7.49, ""calories"": 33.0}"
plantains raw,1.3,0.37,31.89,122.0,"{""proteins"": 1.3, ""fats"": 0.37, ""carbohydrates"": 31.89, ""calories"": 122.0}"
plantains cooked,0.79,0.18,31.15,116.0,"{""proteins"": 0.79, ""fats"": 0.18, ""carbohydrates"": 31.15, ""calories"": 116.0}"
plums raw,0.7,0.28,11.42,46.0,"{""proteins"": 0.7, ""fats"": 0.28, ""carbohydrates"": 11.42, ""calories"": 46.0}"
plums canned purple water pack solids and liquids,0.39,0.01,11.03,41.0,"{""proteins"": 0.39, ""fats"": 0.01, ""carbohydrates"": 11.03, ""calories"": 41.0}"
plums canned purple juice pack solids and liquids,0.51,0.02,15.15,58.0,"{""proteins"": 0.51, ""fats"": 0.02, ""carbohydrates"": 15.15, ""calories"": 58.0}"
plums canned purple light syrup pack solids and liquids,0.37,0.1,16.28,63.0,"{""proteins"": 0.37, ""fats"": 0.1, ""carbohydrates"": 16.28, ""calories"": 63.0}"
plums canned purple heavy syrup pack solids and liquids,0.36,0.1,23.24,89.0,"{""proteins"": 0.36, ""fats"": 0.1, ""carbohydrates"": 23.24, ""calories"": 89.0}"
plums canned purple extra heavy syrup pack solids and liquids,0.36,0.1,26.31,101.0,"{""proteins"": 0.36, ""fats"": 0.1, ""carbohydrates"": 26.31, ""calories"": 101.0}"
pomegranates raw,1.67,1.17,18.7,83.0,"{""proteins"": 1.67, ""fats"": 1.17, ""carbohydrates"": 18.7, ""calories"": 83.0}"
prickly pears raw,0.73,0.51,9.57,41.0,"{""proteins"": 0.73, ""fats"": 0.51, ""carbohydrates"": 9.57, ""calories"": 41.0}"
prunes canned heavy syrup pack solids and liquids,0.87,0.2,27.8,105.0,"{""proteins"": 0.87, ""fats"": 0.2, ""carbohydrates"": 27.8, ""calories"": 105.0}"
prunes dehydrated (low-moisture) uncooked,3.7,0.73,89.07,339.0,"{""proteins"": 3.7, ""fats"": 0.73, ""carbohydrates"": 89.07, ""calories"": 339.0}"
prunes dehydrated (low-moisture) stewed,1.23,0.24,29.7,113.0,"{""proteins"": 1.23, ""fats"": 0.24, ""carbohydrates"": 29.7, ""calories"": 113.0}"
plums dried (prunes) uncooked,2.18,0.38,63.88,240.0,"{""proteins"": 2.18, ""fats"": 0.38, ""carbohydrates"": 63.88, ""calories"": 240.0}"
plums dried (prunes) stewed without added sugar,0.96,0.16,28.08,107.0,"{""proteins"": 0.96, ""fats"": 0.16, ""carbohydrates"": 28.08, ""calories"": 107.0}"
plums dried (prunes) stewed with added sugar,1.09,0.22,32.88,124.0,"{""proteins"": 1.09, ""fats"": 0.22, ""carbohydrates"": 32.88, ""calories"": 124.0}"
prune juice canned,0.61,0.03,17.45,71.0,"{""proteins"": 0.61, ""fats"": 0.03, ""carbohydrates"": 17.45, ""calories"": 71.0}"
pummelo raw,0.76,0.04,9.62,38.0,"{""proteins"": 0.76, ""fats"": 0.04, ""carbohydrates"": 9.62, ""calories"": 38.0}"
quinces raw,0.4,0.1,15.3,57.0,"{""proteins"": 0.4, ""fats"": 0.1, ""carbohydrates"": 15.3, ""calories"": 57.0}"
raisins golden seedless,3.39,0.46,79.52,302.0,"{""proteins"": 3.39, ""fats"": 0.46, ""carbohydrates"": 79.52, ""calories"": 302.0}"
raisins seedless,3.07,0.46,79.18,299.0,"{""proteins"": 3.07, ""fats"": 0.46, ""carbohydrates"": 79.18, ""calories"": 299.0}"
raisins seeded,2.52,0.54,78.47,296.0,"{""proteins"": 2.52, ""fats"": 0.54, ""carbohydrates"": 78.47, ""calories"": 296.0}"
rambutan canned syrup pack,0.65,0.21,20.87,82.0,"{""proteins"": 0.65, ""fats"": 0.21, ""carbohydrates"": 20.87, ""calories"": 82.0}"
raspberries raw,1.2,0.65,11.94,52.0,"{""proteins"": 1.2, ""fats"": 0.65, ""carbohydrates"": 11.94, ""calories"": 52.0}"
raspberries canned red heavy syrup pack solids and liquids,0.83,0.12,23.36,91.0,"{""proteins"": 0.83, ""fats"": 0.12, ""carbohydrates"": 23.36, ""calories"": 91.0}"
raspberries frozen red sweetened,0.7,0.16,26.16,103.0,"{""proteins"": 0.7, ""fats"": 0.16, ""carbohydrates"": 26.16, ""calories"": 103.0}"
rhubarb raw,0.9,0.2,4.54,21.0,"{""proteins"": 0.9, ""fats"": 0.2, ""carbohydrates"": 4.54, ""calories"": 21.0}"
rhubarb frozen uncooked,0.55,0.11,5.1,21.0,"{""proteins"": 0.55, ""fats"": 0.11, ""carbohydrates"": 5.1, ""calories"": 21.0}"
rhubarb frozen cooked with sugar,0.39,0.05,31.2,116.0,"{""proteins"": 0.39, ""fats"": 0.05, ""carbohydrates"": 31.2, ""calories"": 116.0}"
roselle raw,0.96,0.64,11.31,49.0,"{""proteins"": 0.96, ""fats"": 0.64, ""carbohydrates"": 11.31, ""calories"": 49.0}"
rose-apples raw,0.6,0.3,5.7,25.0,"{""proteins"": 0.6, ""fats"": 0.3, ""carbohydrates"": 5.7, ""calories"": 25.0}"
sapodilla raw,0.44,1.1,19.96,83.0,"{""proteins"": 0.44, ""fats"": 1.1, ""carbohydrates"": 19.96, ""calories"": 83.0}"
sapote mamey raw,1.45,0.46,32.1,124.0,"{""proteins"": 1.45, ""fats"": 0.46, ""carbohydrates"": 32.1, ""calories"": 124.0}"
soursop raw,1.0,0.3,16.84,66.0,"{""proteins"": 1.0, ""fats"": 0.3, ""carbohydrates"": 16.84, ""calories"": 66.0}"
strawberries raw,0.67,0.3,7.68,32.0,"{""proteins"": 0.67, ""fats"": 0.3, ""carbohydrates"": 7.68, ""calories"": 32.0}"
strawberries canned heavy syrup pack solids and liquids,0.56,0.26,23.53,92.0,"{""proteins"": 0.56, ""fats"": 0.26, ""carbohydrates"": 23.53, ""calories"": 92.0}"
strawberries frozen unsweetened,0.43,0.11,9.13,35.0,"{""proteins"": 0.43, ""fats"": 0.11, ""carbohydrates"": 9.13, ""calories"": 35.0}"
strawberries frozen sweetened whole,0.52,0.14,21.0,78.0,"{""proteins"": 0.52, ""fats"": 0.14, ""carbohydrates"": 21.0, ""calories"": 78.0}"
strawberries frozen sweetened sliced,0.53,0.13,25.92,96.0,"{""proteins"": 0.53, ""fats"": 0.13, ""carbohydrates"": 25.92, ""calories"": 96.0}"
sugar-apples (sweetsop) raw,2.06,0.29,23.64,94.0,"{""proteins"": 2.06, ""fats"": 0.29, ""carbohydrates"": 23.64, ""calories"": 94.0}"
tamarinds raw,2.8,0.6,62.5,239.0,"{""proteins"": 2.8, ""fats"": 0.6, ""carbohydrates"": 62.5, ""calories"": 239.0}"
fruit salad (pineapple and papaya and banana and guava) tropical canned heavy syrup solids and liquids,0.41,0.1,22.36,86.0,"{""proteins"": 0.41, ""fats"": 0.1, ""carbohydrates"": 22.36, ""calories"": 86.0}"
watermelon raw,0.61,0.15,7.55,30.0,"{""proteins"": 0.61, ""fats"": 0.15, ""carbohydrates"": 7.55, ""calories"": 30.0}"
maraschino cherries canned drained,0.22,0.21,41.97,165.0,"{""proteins"": 0.22, ""fats"": 0.21, ""carbohydrates"": 41.97, ""calories"": 165.0}"
feijoa raw,0.71,0.42,15.21,61.0,"{""proteins"": 0.71, ""fats"": 0.42, ""carbohydrates"": 15.21, ""calories"": 61.0}"
pears asian raw,0.5,0.23,10.65,42.0,"{""proteins"": 0.5, ""fats"": 0.23, ""carbohydrates"": 10.65, ""calories"": 42.0}"
fruit cocktail canned heavy syrup drained,0.47,0.1,18.8,70.0,"{""proteins"": 0.47, ""fats"": 0.1, ""carbohydrates"": 18.8, ""calories"": 70.0}"
blueberries canned light syrup drained,1.04,0.4,22.66,88.0,"{""proteins"": 1.04, ""fats"": 0.4, ""carbohydrates"": 22.66, ""calories"": 88.0}"
blueberries wild canned heavy syrup drained,0.56,0.34,28.32,107.0,"{""proteins"": 0.56, ""fats"": 0.34, ""carbohydrates"": 28.32, ""calories"": 107.0}"
pineapple canned juice pack drained,0.51,0.11,15.56,60.0,"{""proteins"": 0.51, ""fats"": 0.11, ""carbohydrates"": 15.56, ""calories"": 60.0}"
apricots canned heavy syrup drained,0.64,0.11,21.31,83.0,"{""proteins"": 0.64, ""fats"": 0.11, ""carbohydrates"": 21.31, ""calories"": 83.0}"
cherries sour canned water pack drained,0.69,0.21,10.45,42.0,"{""proteins"": 0.69, ""fats"": 0.21, ""carbohydrates"": 10.45, ""calories"": 42.0}"
cherries sweet canned pitted heavy syrup drained,0.73,0.21,21.07,83.0,"{""proteins"": 0.73, ""fats"": 0.21, ""carbohydrates"": 21.07, ""calories"": 83.0}"
peaches canned heavy syrup drained,0.52,0.18,18.43,72.0,"{""proteins"": 0.52, ""fats"": 0.18, ""carbohydrates"": 18.43, ""calories"": 72.0}"
pears canned heavy syrup drained,0.24,0.18,19.08,74.0,"{""proteins"": 0.24, ""fats"": 0.18, ""carbohydrates"": 19.08, ""calories"": 74.0}"
plums canned heavy syrup drained,0.44,0.14,23.12,89.0,"{""proteins"": 0.44, ""fats"": 0.14, ""carbohydrates"": 23.12, ""calories"": 89.0}"
tangerines (mandarin oranges) canned juice pack drained,0.75,0.04,9.41,38.0,"{""proteins"": 0.75, ""fats"": 0.04, ""carbohydrates"": 9.41, ""calories"": 38.0}"
apple juice canned or bottled unsweetened with added ascorbic acid,0.1,0.13,11.3,46.0,"{""proteins"": 0.1, ""fats"": 0.13, ""carbohydrates"": 11.3, ""calories"": 46.0}"
applesauce canned unsweetened with added ascorbic acid,0.17,0.1,11.27,42.0,"{""proteins"": 0.17, ""fats"": 0.1, ""carbohydrates"": 11.27, ""calories"": 42.0}"
applesauce canned sweetened with salt,0.18,0.18,19.91,76.0,"{""proteins"": 0.18, ""fats"": 0.18, ""carbohydrates"": 19.91, ""calories"": 76.0}"
apricot nectar canned with added ascorbic acid,0.37,0.09,14.39,56.0,"{""proteins"": 0.37, ""fats"": 0.09, ""carbohydrates"": 14.39, ""calories"": 56.0}"
grapefruit juice pink raw,0.5,0.1,9.2,39.0,"{""proteins"": 0.5, ""fats"": 0.1, ""carbohydrates"": 9.2, ""calories"": 39.0}"
peach nectar canned with added ascorbic acid,0.27,0.02,13.92,54.0,"{""proteins"": 0.27, ""fats"": 0.02, ""carbohydrates"": 13.92, ""calories"": 54.0}"
pear nectar canned with added ascorbic acid,0.11,0.01,15.76,60.0,"{""proteins"": 0.11, ""fats"": 0.01, ""carbohydrates"": 15.76, ""calories"": 60.0}"
pineapple juice canned or bottled unsweetened with added ascorbic acid,0.36,0.12,12.87,53.0,"{""proteins"": 0.36, ""fats"": 0.12, ""carbohydrates"": 12.87, ""calories"": 53.0}"
apple juice frozen concentrate unsweetened undiluted with added ascorbic acid,0.51,0.37,41.0,166.0,"{""proteins"": 0.51, ""fats"": 0.37, ""carbohydrates"": 41.0, ""calories"": 166.0}"
apple juice frozen concentrate unsweetened diluted with 3 volume water with added ascorbic acid,0.14,0.1,11.54,47.0,"{""proteins"": 0.14, ""fats"": 0.1, ""carbohydrates"": 11.54, ""calories"": 47.0}"
pears raw bartlett,0.39,0.16,15.01,63.0,"{""proteins"": 0.39, ""fats"": 0.16, ""carbohydrates"": 15.01, ""calories"": 63.0}"
pears raw red anjou,0.33,0.14,14.94,62.0,"{""proteins"": 0.33, ""fats"": 0.14, ""carbohydrates"": 14.94, ""calories"": 62.0}"
pears raw bosc,0.36,0.09,16.1,67.0,"{""proteins"": 0.36, ""fats"": 0.09, ""carbohydrates"": 16.1, ""calories"": 67.0}"
pears raw green anjou,0.44,0.1,15.79,66.0,"{""proteins"": 0.44, ""fats"": 0.1, ""carbohydrates"": 15.79, ""calories"": 66.0}"
grapefruit juice white bottled unsweetened ocean spray,0.58,0.1,7.93,34.0,"{""proteins"": 0.58, ""fats"": 0.1, ""carbohydrates"": 7.93, ""calories"": 34.0}"
jackfruit canned syrup pack,0.36,0.14,23.94,92.0,"{""proteins"": 0.36, ""fats"": 0.14, ""carbohydrates"": 23.94, ""calories"": 92.0}"
dates medjool,1.81,0.15,74.97,277.0,"{""proteins"": 1.81, ""fats"": 0.15, ""carbohydrates"": 74.97, ""calories"": 277.0}"
durian raw or frozen,1.47,5.33,27.09,147.0,"{""proteins"": 1.47, ""fats"": 5.33, ""carbohydrates"": 27.09, ""calories"": 147.0}"
prune puree,2.1,0.2,65.1,257.0,"{""proteins"": 2.1, ""fats"": 0.2, ""carbohydrates"": 65.1, ""calories"": 257.0}"
candied fruit,0.34,0.07,82.74,322.0,"{""proteins"": 0.34, ""fats"": 0.07, ""carbohydrates"": 82.74, ""calories"": 322.0}"
abiyuch raw,1.5,0.1,17.6,69.0,"{""proteins"": 1.5, ""fats"": 0.1, ""carbohydrates"": 17.6, ""calories"": 69.0}"
rowal raw,2.3,2.0,23.9,111.0,"{""proteins"": 2.3, ""fats"": 2.0, ""carbohydrates"": 23.9, ""calories"": 111.0}"
pineapple raw traditional varieties,0.55,0.13,11.82,45.0,"{""proteins"": 0.55, ""fats"": 0.13, ""carbohydrates"": 11.82, ""calories"": 45.0}"
pineapple raw extra sweet variety,0.53,0.11,13.5,51.0,"{""proteins"": 0.53, ""fats"": 0.11, ""carbohydrates"": 13.5, ""calories"": 51.0}"
usda commodity mixed fruit (peaches pears grapes) canned light syrup drained,0.46,0.1,14.65,57.0,"{""proteins"": 0.46, ""fats"": 0.1, ""carbohydrates"": 14.65, ""calories"": 57.0}"
